class,f1_score,precision,recall,support
    0,0.71,0.74,0.67,100.0
    1,0.54,0.51,0.57,100.0
    2,0.33,0.38,0.29,100.0
    3,0.06,0.1,0.04,100.0
    4,0.18,0.17,0.2,100.0
    5,0.43,0.46,0.4,100.0
    6,0.44,0.46,0.42,100.0
    7,0.37,0.36,0.38,100.0
    8,0.58,0.57,0.58,100.0
    9,0.63,0.75,0.54,100.0
   10,0.31,0.32,0.3,100.0
   11,0.26,0.36,0.2,100.0
   12,0.42,0.42,0.41,100.0
   13,0.34,0.44,0.28,100.0
   14,0.26,0.3,0.23,100.0
   15,0.26,0.3,0.23,100.0
   16,0.45,0.53,0.39,100.0
   17,0.56,0.49,0.66,100.0
   18,0.39,0.37,0.42,100.0
   19,0.34,0.44,0.27,100.0
   20,0.81,0.86,0.77,100.0
   21,0.45,0.36,0.58,100.0
   22,0.39,0.45,0.34,100.0
   23,0.5,0.41,0.64,100.0
   24,0.52,0.42,0.67,100.0
   25,0.39,0.5,0.32,100.0
   26,0.39,0.35,0.43,100.0
   27,0.25,0.18,0.41,100.0
   28,0.63,0.59,0.66,100.0
   29,0.42,0.51,0.35,100.0
   30,0.43,0.38,0.51,100.0
   31,0.3,0.32,0.29,100.0
   32,0.36,0.38,0.35,100.0
   33,0.29,0.22,0.42,100.0
   34,0.31,0.35,0.28,100.0
   35,0.17,0.24,0.13,100.0
   36,0.45,0.46,0.43,100.0
   37,0.39,0.48,0.33,100.0
   38,0.24,0.24,0.24,100.0
   39,0.39,0.37,0.41,100.0
   40,0.41,0.65,0.3,100.0
   41,0.66,0.75,0.58,100.0
   42,0.29,0.24,0.37,100.0
   43,0.42,0.33,0.57,100.0
   44,0.25,0.27,0.23,100.0
   45,0.2,0.22,0.19,100.0
   46,0.23,0.27,0.2,100.0
   47,0.47,0.49,0.46,100.0
   48,0.63,0.61,0.66,100.0
   49,0.51,0.44,0.62,100.0
   50,0.21,0.23,0.19,100.0
   51,0.35,0.38,0.33,100.0
   52,0.59,0.53,0.68,100.0
   53,0.7,0.7,0.7,100.0
   54,0.59,0.57,0.61,100.0
   55,0.07,0.12,0.05,100.0
   56,0.54,0.51,0.58,100.0
   57,0.51,0.58,0.46,100.0
   58,0.53,0.61,0.46,100.0
   59,0.33,0.36,0.3,100.0
   60,0.66,0.57,0.79,100.0
   61,0.55,0.45,0.69,100.0
   62,0.45,0.54,0.39,100.0
   63,0.26,0.22,0.3,100.0
   64,0.16,0.17,0.16,100.0
   65,0.21,0.22,0.21,100.0
   66,0.24,0.27,0.22,100.0
   67,0.37,0.35,0.4,100.0
   68,0.64,0.58,0.71,100.0
   69,0.64,0.64,0.63,100.0
   70,0.44,0.48,0.41,100.0
   71,0.61,0.6,0.61,100.0
   72,0.15,0.18,0.13,100.0
   73,0.39,0.36,0.42,100.0
   74,0.22,0.16,0.34,100.0
   75,0.51,0.44,0.61,100.0
   76,0.68,0.64,0.72,100.0
   77,0.22,0.28,0.18,100.0
   78,0.22,0.29,0.17,100.0
   79,0.32,0.25,0.46,100.0
   80,0.12,0.15,0.1,100.0
   81,0.36,0.39,0.34,100.0
   82,0.69,0.68,0.71,100.0
   83,0.38,0.46,0.32,100.0
   84,0.31,0.46,0.23,100.0
   85,0.52,0.42,0.67,100.0
   86,0.5,0.65,0.41,100.0
   87,0.61,0.66,0.57,100.0
   88,0.35,0.38,0.32,100.0
   89,0.42,0.41,0.43,100.0
   90,0.3,0.39,0.25,100.0
   91,0.52,0.53,0.52,100.0
   92,0.36,0.42,0.31,100.0
   93,0.22,0.27,0.19,100.0
   94,0.72,0.63,0.83,100.0
   95,0.44,0.42,0.46,100.0
   96,0.32,0.32,0.32,100.0
   97,0.33,0.26,0.45,100.0
   98,0.09,0.14,0.07,100.0
   99,0.44,0.54,0.37,100.0
avg / total,0.4,0.42,0.41,10000.0
